customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_flag,churn_probability,risk_band,revenue_at_risk
CUST100000,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,92.62,3519.33,No,0,0.4799,Medium,44.45
CUST100001,Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.12,789.01,No,0,0.4092,Medium,45.06
CUST100002,Female,0,Yes,Yes,22,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,73.0,1606.46,No,0,0.4718,Medium,34.45
CUST100003,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,108.35,1829.47,Yes,1,0.3578,Low,38.77
CUST100004,Male,0,No,No,12,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.68,1112.33,Yes,1,0.6876,Medium,63.04
CUST100005,Female,0,No,No,51,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,62.72,3212.2,No,0,0.2787,Low,17.48
CUST100006,Male,0,No,No,17,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),84.24,1413.26,No,0,0.257,Low,21.65
CUST100007,Female,0,Yes,Yes,34,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),68.35,2316.93,Yes,1,0.5202,Medium,35.55
CUST100008,Male,0,Yes,No,40,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.5,3483.76,No,0,0.569,Medium,49.79
CUST100009,Male,0,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,106.93,2035.53,No,0,0.3514,Low,37.57
CUST100010,Female,1,No,No,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,96.64,903.41,Yes,1,0.4905,Medium,47.4
CUST100011,Female,0,No,Yes,41,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,50.69,2107.35,No,0,0.5078,Medium,25.74
CUST100012,Female,1,Yes,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,114.45,2175.57,Yes,1,0.7623,High,87.24
CUST100013,Female,1,Yes,No,21,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,68.49,1406.9,Yes,1,0.6423,Medium,43.99
CUST100014,Female,1,No,No,16,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,117.02,1873.2,Yes,1,0.7246,High,84.79
CUST100015,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,98.31,3927.86,Yes,1,0.7394,High,72.69
CUST100016,Female,0,Yes,No,9,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.0,592.11,No,0,0.2816,Low,19.15
CUST100017,Male,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),100.89,2138.3,No,0,0.4455,Medium,44.95
CUST100018,Female,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,94.11,960.08,No,0,0.5377,Medium,50.61
CUST100019,Male,0,No,No,16,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,86.68,1387.98,No,0,0.5249,Medium,45.5
CUST100020,Female,0,No,No,44,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),95.55,4200.27,Yes,1,0.4024,Medium,38.45
CUST100021,Male,1,No,No,43,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.13,2566.75,Yes,1,0.5088,Medium,30.6
CUST100022,Male,0,Yes,No,18,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.27,1433.78,Yes,1,0.7963,High,63.13
CUST100023,Female,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,98.51,2575.27,No,0,0.7783,High,76.67
CUST100024,Female,0,No,No,26,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),74.86,1958.23,No,0,0.3506,Low,26.25
CUST100025,Female,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),95.72,961.18,Yes,1,0.4257,Medium,40.75
CUST100026,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),98.7,3095.15,Yes,1,0.3996,Low,39.44
CUST100027,Female,0,No,No,10,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.99,598.15,No,0,0.5689,Medium,33.56
CUST100028,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,86.76,1295.84,No,0,0.6075,Medium,52.7
CUST100029,Male,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,85.59,416.35,Yes,1,0.6219,Medium,53.23
CUST100030,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.32,934.82,No,0,0.2313,Low,6.32
CUST100031,Male,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,103.11,4167.37,Yes,1,0.7905,High,81.51
CUST100032,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.61,2948.79,Yes,1,0.7571,High,82.23
CUST100033,Female,0,No,Yes,22,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),59.86,1343.13,Yes,1,0.5644,Medium,33.79
CUST100034,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,94.26,1417.23,No,0,0.7157,High,67.46
CUST100035,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,97.18,3406.89,Yes,1,0.5674,Medium,55.14
CUST100036,Female,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.66,1555.4,No,0,0.1054,Low,2.81
CUST100037,Female,0,No,Yes,12,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,107.78,1287.66,No,0,0.5469,Medium,58.95
CUST100038,Male,0,No,No,18,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.34,1115.89,No,0,0.6295,Medium,39.24
CUST100039,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.33,315.94,No,0,0.3793,Low,14.16
CUST100040,Male,1,No,No,22,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),63.55,1408.34,Yes,1,0.2757,Low,17.52
CUST100041,Female,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,98.18,1643.77,No,0,0.7907,High,77.63
CUST100042,Female,1,Yes,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,93.89,1758.25,Yes,1,0.8175,High,76.76
CUST100043,Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.62,3381.09,Yes,1,0.5533,Medium,51.8
CUST100044,Male,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),28.28,1205.55,No,0,0.1744,Low,4.93
CUST100045,Female,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,101.24,815.6,Yes,1,0.4081,Medium,41.32
CUST100046,Male,0,No,Yes,26,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,59.5,1580.45,No,0,0.2412,Low,14.35
CUST100047,Female,1,Yes,No,51,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),99.67,5049.16,No,0,0.5799,Medium,57.8
CUST100048,Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.35,2927.84,Yes,1,0.7858,High,77.28
CUST100049,Female,1,No,Yes,10,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.67,990.5,Yes,1,0.7977,High,79.51
CUST100050,Female,1,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.7,1341.36,No,0,0.4124,Medium,13.49
CUST100051,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),95.24,2939.35,No,0,0.3363,Low,32.03
CUST100052,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.91,2718.08,Yes,1,0.7111,High,66.78
CUST100053,Male,0,Yes,No,18,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,65.42,1195.92,No,0,0.3637,Low,23.8
CUST100054,Male,0,No,Yes,28,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,66.34,1834.58,No,0,0.3974,Low,26.36
CUST100055,Male,0,No,Yes,72,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.59,4638.4,No,0,0.5079,Medium,32.8
CUST100056,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),114.16,442.2,No,0,0.6005,Medium,68.55
CUST100057,Male,1,Yes,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,100.53,1531.57,Yes,1,0.6877,Medium,69.14
